Audi,Venue,"City, State"
1 (PXL),"PVR, CP67, Sector 67","Mohali, Punjab"
1 (ONYX),"Cinepolis, DLF Avenue, Saket","South Delhi, Delhi"
4 (PXL),"PVR, Forum Mall","Kochi, Kerala"
"5, 6","PVR Premiere, Select Citywalk, Saket","South Delhi, Delhi"
1 (4DX),"PVR, MGF, Sector 25","Gurugram, Haryana"
All,"V Celluloid's V Epiq, PSR Nellore","Sullurpeta, Andhra Pradesh"
"8, 9, 10, 11","PVR Director's Cut, Ambience, ","Gurugram, Haryana"
"1, 2, 4, 5, 6, 7, 8, 9","PVR Icon, Promenade, Vasant Kunj","South Delhi, Delhi"
"2 (LED), 4",AAA Cinemas: Ameerpeet,"Hyderabad, Telangana"
6 (PCX),"Prasads, ","Hyderabad, Telangana"
4 (PXL),"PVR, Mani Square Mall","Kolkata, Bengal"
1,"PVR, Grand Highstreet, Hinjawadi","Pune, Maharashtra"
"2, 3, 5, 6","AMB Cinemas, Gachibowli","Hyderabad, Telangana"
"4, 5","Asian Cinemart, RC Puram","Hyderabad, Telangana"
6 (EPIQ),"ART Cinemas, Vanasthalipuram","Hyderabad, Telangana"
2,"Asian Mukta A2 Cinemas, MJR Square, Narapally","Hyderabad, Telangana"
