"Movie Name","Release Date","Filming Program","Formatting Program","Standard Ratio","IMAX 1.90 Venue Ratio","IMAX 1.43:1 Venue Ratio"
"Dune: Part One","2021.10.22","Filmed in IMAX","Specially Formatted Exclusively for IMAX","2.39:1","1.90:1 & 2.39:1","1.43:1, 1.90:1 & 2.39:1"
"Dune: Part Two","2024.03.01","Filmed in IMAX","Specially Formatted Exclusively for IMAX","2.39:1","1.90:1","1.43:1 & 1.90:1"
"Sinners","2025.04.18","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.76:1","1.90:1 & 2.76:1","1.43:1 & 2.76:1"
"Interstellar","2014.11.07","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.39:1","1.90:1 & 2.39:1","1.43:1 & 2.39:1"
"Oppenheimer","2023.07.22","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.20:1","1.90:1 & 2.20:1","1.43:1 & 2.20:1"
"Dunkirk","2017.07.21","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.20:1","1.90:1 & 2.20:1","1.43:1 & 2.20:1"
"Tenet","2020.12.04","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.20:1","1.90:1 & 2.20:1","1.43:1 & 2.20:1"
"The Dark Knight","2008.07.18","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.39:1","1.90:1 & 2.39:1","1.43:1 & 2.39:1"
"The Dark Knight Rises","2012.07.20","Filmed with IMAX Film Cameras","Specially Formatted Exclusively for IMAX","2.39:1","1.90:1 & 2.39:1","1.43:1 & 2.39:1"
"Top Gun: Maverick","2022.05.27","Filmed for IMAX","Specially Formatted for IMAX","2.39:1","1.90:1 & 2.39:1","1.90:1 & 2.39:1"
"F1","2025.06.27","Filmed for IMAX","Specially Formatted for IMAX","2.39:1","1.90:1 & 2.39:1","1.90:1 & 2.39:1"
"The Suicide Squad","2021.07.30","Filmed for IMAX","Specially Formatted for IMAX","1.90:1","1.90:1","1.90:1"
"Superman","2025.07.11","Filmed for IMAX","Specially Formatted for IMAX","2.39:1","1.90:1","1.90:1"
