#,Movie,Ratio
1,RRR,2.39:1
2,Pushpa: The Rule,2.39:1
3,Game Changer,2.39:1
4,War 2,2.39:1
5,Kantara: A Legend - Chapter One,2.39:1
6,Baahubali: The Epic,1.90:1
7,Rajasaab,2.39:1
8,Mana Shankara Vara Prasad Garu,2.39:1
9,Border 2,2.39:1
10,Ustaad Bhagat Singh,2.39:1
11,Dhurandhar: The Revenge,2.39:1
12,Biker,1.90:1
13,Swayambhu,2.39:1
14,Dacoit,1.90:1
15,Karuppu,2.39:1
16,Drishyam 3,2.39:1
17,Peddi,1.90 & 2.39:1
18,Nagabandham,2.39:1
19,The Paradise,2.39:1
20,Toxic,1.85:1
21,Namit Malhotra's Ramayana,1.90:1
22,Vāranāsi,1.90:1
