#,Movie,Ratio
1,Dhoom 3 (2D),2.39:1
2,Bang Bang (2D),2.39:1
3,Baahubali 2: The Conclusion (2D 4K),1.90:1
4,Padmaavat (3D),2.39:1
5,Gold (2D),2.39:1
6,Thugs of Hindostan (2D),2.39:1
7,Saaho (2D 4K),1.90:1
8,RRR (3D & 2D 4K),1.90:1
9,K.G.F: Chapter 2 (2D 4K),2.39:1
10,Shamshera (2D),2.39:1
11,Laal Singh Chaddha (2D 4K),2.39:1
12,Brahmastra - Part One: Shiva (3D & 2D),2.39:1
13,Ponniyin Selvan: Part I (2D 4K),2.39:1
14,Pathaan (2D),2.39:1
15,Bholaa (3D & 2D),2.39:1
16,Ponniyin Selvan: Part II (2D 4K),2.39:1
17,Simhadri (2D 4K),2.39:1
18,Jawan (2D 4K),2.39:1
19,Leo (2D 4K),2.39:1
20,Tiger 3 (2D),2.39:1
21,Animal (2D 4K),2.39:1
22,Salaar (2D 4K),2.39:1
23,Captain Miller (2D 4K),2.39:1
24,Fighter (3D & 2D),2.39:1
25,Maidaan (2D),2.39:1
26,Bade Miyan Chote Miyan (3D & 2D),2.39:1
27,Kalki 2898 AD (2D 4K),2.39:1
28,Indian 2 (2D 4K),2.39:1
29,The Greatest Of All Time (2D 4K),2.39:1
30,Devara (2D 4K),1.90:1 & 2.39:1
31,Singham Again (2D 4K),2.39:1
32,Pushpa 2: The Rule (2D 4K),2.39:1
33,Game Changer (2D 4K),2.39:1
34,Sky Force (2D),2.39:1
35,Chhaava (2D),2.39:1
36,L2 Empuraan (2D 4K),2.80:1
37,Sikandar (2D 4K),2.39:1
38,Thug Life (2D 4K),2.39:1
39,War 2 (2D),2.39:1
40,Kantara: A Legend Chapter-1 (2D 4K),1.90:1 & 2.39:1
41,Thamma (2D),2.39:1
42,Baahubali: The Epic (2D 4K),1.90:1
43,Dhurandhar (2D),2.39:1
44,Border 2 (2D),2.39:1
??,Ramayana: Part 1 (3D & 2D 4K),1.90:1
??,Varanasi (3D & 2D 4K),1.43:1
