#,Movie,Recommended Version
1,Spider-Man: No Way Home,Sony Pictures Core
2,Jurassic World: Dominion,4K Blu-ray
3,Doctor Strange in the Multiverse of Madness,Disney Plus IMAX Enhanced
4,Avatar,3D Blu-ray
5,Avatar: The Way of Water,3D Blu-ray
6,Titanic,3D Blu-ray
7,Interstellar,4K Blu-ray
8,The Flash,4K Movies Anywhere
9,Guardians of the Galaxy Vol: 3,Disney Plus IMAX Enhanced
10,Gravity,3D Blu-ray
11,The Marvels,Disney Plus IMAX Enhanced
12,Dune: Part One,4K Blu-ray
13,Dune: Part Two (4K 1.90:1),4K Blu-ray
14,Aquaman: The Lost Kingdom (3D 1.90:1),4K Blu-ray
15,Godzilla x Kong: The New Empire (3D 2.39:1 + 1.90:1),
16,Inside Out 2 (3D 2.39:1),
17,Deadpool & Wolverine (3D 2.39:1 + Frame Breaks),
18,Alien: Romulus (4K 1.90:1),
19,Devara: Part 1 (Hindi 2.39:1 + 1.90:1),
20,Venom: The Last Dance (3D 2.39:1 + 1.90:1),
21,Singham Again (2.39:1),
22,Moana 2 (3D 2.00:1),
23,Mufasa: The Lion King (3D 1.85:1),
24,Captain America: Brave New World (Hindi 3D 2.39:1 + 1.90:1),
25,Chhaava (2.39:1),
26,Hubble (3D 1.43:1),
27,Mickey 17 (4K 1.85:1),
28,Dune: Part Two (4K 1.90:1),
29,Dune: Part Two (4K 1.90:1),
30,Interstellar (4K 2.39:1 + 1.90:1),
31,A Minecraft Movie (3D 1.85:1),
32,Sinners (4K 2.76:1 + 1.90:1),
33,Thunderbolts (3D 2.39:1 + 1.90:1),
34,Thunderbolts (4K 2.39:1 + 1.90:1),
35,Sinners (4K 2.76:1 + 1.90:1),
36,Mission: Impossible - The Final Reckoning (4K 2.39:1 + 1.90:1),
37,F1 (4K 1.90:1),
38,Fantastic Four: First Steps (3D 1.90:1),
39,Jaws (4K 2.39:1),
40,Avatar: The Way of Water (3D 1.90:1 48fps),
41,Tron: Legacy,
42,Mortal Kombat II,
43,Baahubali: The Epic (4K 1.90:1),
44,Avatar: Fire And Ash (3D 1.85:1),
45,??,
46,Spider-Man: Brand New Day (3D 1.90:1),
47,The Odyssey (15/70mm 1.43:1),
48,,
49,,
50,,
