#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Spider-Man 2,Hindi,None,2D,35mm,2K,5.1,2.39:1,2.39:1,2004.07.23,,"Jugal Palace, Kanpur",,
,Superman Returns,Hindi,,2D,35mm,2K,5.1,2.39:1,2.39:1,2006.06.30,,"Pammi Gurudev, Kanpur",,
,8 x 10 Tasveer,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2009.04.03,,"Centra Mall, Chandigarh, India",PVR,
,Love Aaj Kal,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2009.07.31,,"Paras Downtown Square, Zirakpur",PVR,
,All the Best: Fun Begins,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2009.10.16,,"DLF Centre Mall, Chandigarh, India",,
,Ra.One,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,2011.10.26,,"DLF Centre Mall, Chandigarh, India",,
,The Avengers,English,None,3D,,2K,5.1,2.39:1,1.85:1,2012.04.27,,"DLF Centre Mall, Chandigarh, India",,
,OMG - Oh My God!,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2012.09.28,,"Centra Mall, Chandigarh, India",,
,Iron-Man 3,English,,3D,,2K,5.1,2.39:1,2.39:1,2013.04.26,,"DLF Centre Mall, Chandigarh, India",,
,Krrish 3,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2013.11.01,2013.11.01,"Paras Downtown Square, Zirakpur",,
,Bhoothnath Returns,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2014.04.11,,"Centra Mall, Chandigarh, India",,
,X-Men: The Days of Future Past,English,,3D,,2K,5.1,2.39:1,2.39:1,2014.05.23,,"DLF Centre Mall, Chandigarh, India",,
,PK,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2014.12.19,2014.12.19,"Centra Mall, Chandigarh, India",,
,Dil Dhadakne Do,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2014.06.05,,"Elante Mall, Chandigarh, India",,
,Bajrangi Bhaijaan,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2015.07.17,,"Emporium Mall, Chandigarh, India",,
,Shaandaar,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2015.10.22,,"DLF Centre Mall, Chandigarh, India",,
,Bajirao Mastani,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2015.12.28,,"Emporium Mall, Chandigarh, India",,
,The Jungle Book,Hindi,,3D,RealD; Atmos,2K,5.1,2.39:1,1.85:1,2016.04.08,,"TDI Jagat, Chandigarh, India",,
,A Flying Jatt,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,2016.08.25,,"TDI Jagat, Chandigarh, India",,
,Dangal,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,2016.12.23,,"TDI Jagat, Chandigarh, India",,
,Baahubali: The Conclusion,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2017.04.28,2017.04.29,"Elante Mall, Chandigarh, India",,
,Baahubali: The Conclusion,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,2017.04.28,2017.05.05,"TDI Jagat, Chandigarh, India",,
,Spider-Man: Homecoming,Hindi ,,3D,RealD,2K,5.1,2.39:1,2.39:1,2017.07.07,,"TDI Jagat, Chandigarh, India",,
,Thor: Ragnarok,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2017.11.03,,"TDI Jagat, Chandigarh, India",,
,Justice League,English,,3D,,2K,5.1,2.39:1,2.39:1,2017.11.17,,"Elante Mall, Chandigarh, India",,
,Tiger Zinda Hai,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2017.12.22,,"Emporium Mall, Chandigarh, India",,
,Two Point O,Hindi,,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,2018.11.29,,"TDI Jagat, Chandigarh, India",,
,Two Point O,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,2018.11.29,,"Paras Downtown Square, Zirakpur",,
,Insidious: The Last Key,English,,2D,,2K,5.1,2.39:1,2.39:1,2018.01.05,,"Centra Mall, Chandigarh, India",,
,Padmaavat,Hindi,,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,2018.01.25,,"TDI Jagat, Chandigarh, India",,
,Gully Boy,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2019.02.14,,"Centra Mall, Chandigarh, India",,
,Avengers: Infinity War,English,,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,2018.04.27,,"TDI Jagat, Chandigarh, India",,
,Avengers: Infinity War,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2018.04.27,,"Emporium Mall, Chandigarh, India",,
,Incredibles 2,English,,3D,4DX,2K,5.1,2.39:1,2.39:1,2018.06.22,,"Elante Mall, Chandigarh, India",,
,Captain Marvel,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,2019.03.08,,"Bestech Square Mall, Mohali",,
,Avengers: Endgame,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2019.04.26,,"Elante Mall, Chandigarh, India",,
,Aladdin,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2019.05.24,,"TDI Jagat, Chandigarh, India",,
,It Chapter Two,English,,2D,,2K,5.1,2.39:1,2.39:1,2019.09.06,,"TDI Jagat, Chandigarh, India",,
,Joker,English,,2D,,2K,5.1,2.39:1,1.85:1,2019.10.02,,"Elante Mall, Chandigarh, India",,
,War,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2019.10.02,,"TDI Jagat, Chandigarh, India",,
,Jumanji: The Next Level,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2019.12.13,,"TDI Jagat, Chandigarh, India",,
,Tanhaji,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2020.01.10,,"TDI Jagat, Chandigarh, India",,
,Street Dancer,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,2020.01.24,,"Elante Mall, Chandigarh, India",,
,Housefull 4,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2019.10.25,,"Piccadily Square Mall, Chandigarh, India",,
,Tanhaji,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2020.01.10,,"Republic Mall, Manimajra",,
,Malang,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2020.02.07,,"Republic Mall, Manimajra",,
,Dunkirk,English,,2D,,2K,5.1,2.39:1,2.39:1,2017.07.21,,"Elante Mall, Chandigarh, India",,
,Tenet,English,,2D,,2K,5.1,2.39:1,2.20:1,2020.12.04,,"TDI Jagat, Chandigarh, India",,
,Roohi,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.03.11,,"Centra Mall, Chandigarh, India",,
,Bell Bottom,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.08.19,,"TDI Jagat, Chandigarh, India",,
,Sooryavanshi,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.11.04,,"Piccadily Square Mall, Chandigarh, India",,
,Antim: The Final Truth,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.11.26,,"Piccadily Square Mall, Chandigarh, India",,
,Chandigarh Kare Aashiqui,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.12.10,,"TDI Jagat, Chandigarh, India",,
,The New Mutants,English,,2D,,2K,5.1,2.39:1,1.85:1,2020.10.30,,"DLF Centre Mall, Chandigarh, India",,
,Wonder Woman 1984,English,,2D,,2K,5.1,2.39:1,2.39:1,2020.12.25,,"TDI Jagat, Chandigarh, India",,
,Tom & Jerry,Hindi,,2D,,2K,5.1,2.39:1,1.85:1,2021.02.19,,"DLF Centre Mall, Chandigarh, India",,
,Chaos Walking,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.05.25,,"Elante Mall, Chandigarh, India",,
,Nobody,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.08.27,,"Elante Mall, Chandigarh, India",,
,Godzilla vs. Kong,English,,2D,,2K,5.1,2.39:1,2.39:1,2024.03.29,,"TDI Jagat, Chandigarh, India",,
,Mortal Kombat,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.04.08,,"DLF Centre Mall, Chandigarh, India",,
,A Quiet Place Part II,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.05.28,,"DLF Centre Mall, Chandigarh, India",,
,The Conjuring: The Devil Made Me Do It,English,,2D,4DX,2K,5.1,2.39:1,2.39:1,2021.08.13,,"Elante Mall, Chandigarh, India",,
,Hitman's Wife's Bodyguard,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.08.06,,"Bestech Square Mall, Mohali",,
,F9,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.09.03,,"TDI Jagat, Chandigarh, India",,
,The Boss Baby: Family Business,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.10.08,,"TDI Jagat, Chandigarh, India",,
,Jungle Cruise,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.07.31,,"Bestech Square Mall, Mohali",,
,The Suicide Squad,English,,2D,,2K,5.1,2.39:1,1.90:1,2021.08.05,,"Elante Mall, Chandigarh, India",,
,Free Guy,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.09.17,,"DLF Centre Mall, Chandigarh, India",,
,Reminiscence,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.08.27,,"Elante Mall, Chandigarh, India",,
,Shang-Chi And The Legend Of The Ten Rings,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2021.09.03,,"Cosmo Mall, Zirakpur",,
,Shang-Chi And The Legend Of The Ten Rings,English,,3D,,2K,5.1,2.39:1,2.39:1,2021.09.03,,"Elante Mall, Chandigarh, India",,
,RRR,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2022.03.25,,"Bestech Square Mall, Mohali",,
,Malignant,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.09.10,,"TDI Jagat, Chandigarh, India",,
,Venom: Let There Be Carnage,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.10.14,,"TDI Jagat, Chandigarh, India",,
,No Time To Die,English,,3D,,2K,5.1,2.39:1,2.39:1,2021.09.30,,"Elante Mall, Chandigarh, India",,
,Dune: Part One,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.10.22,,"Bestech Square Mall, Mohali",,
,Eternals,Hindi,None,3D,RealD,2K,5.1,2.39:1,2.39:1,2021.11.05,,"Bestech Square Mall, Mohali",,
,Ghostbusters: Afterlife,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.11.19,,"Bestech Square Mall, Mohali",,
,Spider-Man: No Way Home,English,,2D,,2K,5.1,2.39:1,2.39:1,2021.12.16,,"Elante Mall, Chandigarh, India",,
,Spider-Man: No Way Home,English,,3D,IMAX,2K,5.1,2.39:1,2.39:1,2021.12.19,,"Vegas Mall, Dwarka, Delhi",,
,Scream,English,,2D,,2K,5.1,2.39:1,2.39:1,2022.01.14,,"TDI Jagat, Chandigarh, India",,
,The Kashmir Files,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Bhool Bhulaiyaa 2,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Ek Villain Returns,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"Centra Mall, Chandigarh, India",,
,Brahmastra: Part One Shiva,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Brahmastra: Part One Shiva,Hindi,,3D,RealD; Atmos,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Bhediya,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Kantara,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"Centra Mall, Chandigarh, India",,
,Moonfall,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Uncharted,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,The Batman,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Everything Everywhere All At One,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"Elante Mall, Chandigarh, India",,
,Morbius,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"Centra Mall, Chandigarh, India",,
,Sonic The Hedgehog Hog 2,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"Centra Mall, Chandigarh, India",,
,Ambulance,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Doctor Strange in the Multiverse of Madness,English,,3D,IMAX,2K,5.1,2.39:1,2.39:1,,,"Ambience Mall, Gurugram",,
,Doctor Strange in the Multiverse of Madness,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Top Gun Maverick,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,,,"Bestech Square Mall, Mohali",,
,Top Gun Maverick,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Jurassic World Dominion,English,,3D,IMAX,2K,5.1,2.39:1,2.00:1,,,"Logix City Center, Noida",,
,Lightyear,English,,3D,,2K,5.1,2.39:1,2.39:1,,2022.06.19,"VR Punjab Mall, Mohali",,
,Minions: The Rise of Gru,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Thor: Love And Thunder,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Nope,English,,2D,4DX,2K,5.1,2.39:1,2.20:1,,,"Elante Mall, Chandigarh, India",,
,DC League of Super Pets,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Bullet Train,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Beast,English,,2D,,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
