#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Spider-Man 2,Hindi,None,2D,35mm,2K,5.1,2.39:1,2.39:1,2004.07.23,,"Jugal Palace, Kanpur",,
,Superman Returns,Hindi,,2D,35mm,2K,5.1,2.39:1,2.39:1,30-Jun-06,,"Pammi Gurudev, Kanpur",,
,8 x 10 Tasveer,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,3-Apr-09,,"Centra Mall, Chandigarh, India",PVR,
,Love Aaj Kal,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,31-Jul-09,,"Paras Downtown Square, Zirakpur",PVR,
,All the Best: Fun Begins,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,16-Oct-09,,"DLF Centre Mall, Chandigarh, India",,
,Ra.One,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,26-Oct-11,,"DLF Centre Mall, Chandigarh, India",,
,The Avengers,English,None,3D,,2K,5.1,2.39:1,1.85:1,27-Apr-12,,"DLF Centre Mall, Chandigarh, India",,
,OMG - Oh My God!,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,28-Sep-12,,"Centra Mall, Chandigarh, India",,
,Iron-Man 3,English,,3D,,2K,5.1,2.39:1,2.39:1,26-Apr-13,,"DLF Centre Mall, Chandigarh, India",,
,Krrish 3,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,1-Nov-13,1-Nov-13,"Paras Downtown Square, Zirakpur",,
,Bhoothnath Returns,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,11-Apr-14,,"Centra Mall, Chandigarh, India",,
,X-Men: The Days of Future Past,English,,3D,,2K,5.1,2.39:1,2.39:1,23-May-14,,"DLF Centre Mall, Chandigarh, India",,
,PK,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,19-Dec-14,19-Dec-14,"Centra Mall, Chandigarh, India",,
,Dil Dhadakne Do,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,5-Jun-14,,"Elante Mall, Chandigarh, India",,
,Bajrangi Bhaijaan,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,17-Jul-15,,"Emporium Mall, Chandigarh, India",,
,Shaandaar,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,22-Oct-15,,"DLF Centre Mall, Chandigarh, India",,
,Bajirao Mastani,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,28-Dec-15,,"Emporium Mall, Chandigarh, India",,
,The Jungle Book,Hindi,,3D,RealD; Atmos,2K,5.1,2.39:1,1.85:1,8-Apr-16,,"TDI Jagat, Chandigarh, India",,
,A Flying Jatt,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,25-Aug-16,,"TDI Jagat, Chandigarh, India",,
,Dangal,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,23-Dec-16,,"TDI Jagat, Chandigarh, India",,
,Baahubali: The Conclusion,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,28-Apr-17,29-Apr-17,"Elante Mall, Chandigarh, India",,
,Baahubali: The Conclusion,Hindi,,2D,Atmos,2K,5.1,2.39:1,2.39:1,28-Apr-17,5-May-17,"TDI Jagat, Chandigarh, India",,
,Spider-Man: Homecoming,Hindi ,,3D,RealD,2K,5.1,2.39:1,2.39:1,7-Jul-17,,"TDI Jagat, Chandigarh, India",,
,Thor: Ragnarok,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,3-Nov-17,,"TDI Jagat, Chandigarh, India",,
