#,Title,Audio Lang,Subtitles,Picture,Format,Projection,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Fit,Release Date,Watch Date,Cinema,Audi No.,Seat No.,Company
,Spider-Man 2,Hindi,None,2D,35mm,Film,N/A,5.1,2.39:1,2.39:1,FS,2004.07.23,2004.07.23,"Jugal Palace, Kanpur, Uttar Pradesh, India",,,Alone
,Superman Returns,Hindi,None,2D,35mm,Film,N/A,5.1,2.39:1,2.39:1,FS,2006.06.30,2006.06.30,"Pammi Gurudev, Kanpur, Uttar Pradesh",,,Alone
,8 x 10 Tasveer,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2009.04.03,2009.04.05,"Centra Mall, Chandigarh, India",PVR,,Alone
,Love Aaj Kal,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2009.07.31,2009.08.01,"Paras Downtown Square, Zirakpur, Punjab, India",PVR,,Alone
,All the Best: Fun Begins,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2009.10.16,2009.10.16,"DLF Centre Mall, Chandigarh, India",,,Alone
,Ra.One,Hindi,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2011.10.26,2011.10.26,"DLF Centre Mall, Chandigarh, India",,,Alone
,The Avengers,English,None,3D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2012.04.27,,"DLF Centre Mall, Chandigarh, India",,,Alone
,OMG - Oh My God!,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2012.09.28,,"Centra Mall, Chandigarh, India",,,Alone
,Iron-Man 3,English,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2013.04.26,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Krrish 3,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2013.11.01,2013.11.01,"Paras Downtown Square, Zirakpur, Punjab, India",,,Alone
,Bhoothnath Returns,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2014.04.11,,"Centra Mall, Chandigarh, India",,,Alone
,X-Men: The Days of Future Past,English,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2014.05.23,,"DLF Centre Mall, Chandigarh, India",,,Alone
,PK,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2014.12.19,2014.12.19,"Centra Mall, Chandigarh, India",,,Alone
,Dil Dhadakne Do,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2014.06.05,,"Elante Mall, Chandigarh, India",,,Alone
,Bajrangi Bhaijaan,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2015.07.17,,"Emporium Mall, Chandigarh, India",,,Alone
,Shaandaar,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2015.10.22,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Bajirao Mastani,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2015.12.28,,"Emporium Mall, Chandigarh, India",,,Alone
,The Jungle Book,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,1.85:1,FS,2016.04.08,,"TDI Jagat, Chandigarh, India",,,Alone
