#,Movie,Venue
1,Spider-Man: No Way Home 3D (1.90:1),"Vegas, Delhi (DX 5.1)"
2,Jurassic World: Dominion 3D (2.00:1),"Bhutani Citycenter 32, Noida (DX 3D 5.1)"
3,Doctor Strange in the Multiverse of Madness 3D (1.90:1),"Ambience, Gurugram (DX 3D 5.1)"
4,Avatar 3D 4K (1.78:1),"Select Citywalk, Delhi (CoLa 12.1)"
5,Avatar: The Way of Water 3D (1.85:1),"Select Citywalk, Delhi (CoLa 12.1)"
6,Titanic 3D 4K (2.39:1),"Select Citywalk, Delhi (CoLa 12.1)"
7,Interstellar (2.39:1 + 1.90:1),"Select Citywalk, Delhi (CoLa 12.1)"
8,The Flash (1.90:1),"Vegas, Delhi (DX 5.1)"
9,Guardians of the Galaxy Vol: 3 3D (1.90:1),"Bhutani Citycenter 32, Noida (DX 5.1)"
10,The Exorcist: Believer 4K (1.85:1),"Priya, Delhi (XT 12.1)"
11,Gravity 3D (2.39:1),"Priya, Delhi (XT 12.1)"
12,The Marvels 3D (2.39:1 + 1.90:1),"Paras, Delhi (XT 5.1)"
13,Dune: Part One 4K (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
14,Dune: Part Two 4K (1.90:1),"Priya, Delhi (XT 12.1)"
15,Aquaman: The Lost Kingdom 3D (1.90:1),"Priya, Delhi (XT 12.1)"
16,Magnificient Desolation: Walking on the Moon 3D (1.43:1),"Science City, Ahmedabad (15/70 6.1)"
17,T-Rex: Back to the Cretaceous 3D (1.43:1),"Science City, Ahmedabad (15/70 6.1)"
18,Godzilla x Kong: The New Empire 3D (2.39:1 + 1.90:1),"Bhutani Citycenter 32, Noida (DX 5.1)"
19,Inside Out 2 3D (2.39:1),"Vishal, Delhi (XT 5.1)"
20,Deadpool & Wolverine 3D (2.39:1 + Frame Breaks),"Select Citywalk, Delhi (CoLa 12.1)"
21,Alien: Romulus 4K (1.90:1),"Mall of India, Noida (XT 5.1)"
22,Devara: Part 1 Hindi (2.39:1 + 1.90:1),"Vegas, Delhi (DX 5.1)"
23,Venom: The Last Dance 3D (2.39:1 + 1.90:1),"Ambience, Gurugram (DX 5.1)"
24,Singham Again (2.39:1),"Ambience, Gurugram (DX 5.1)"
25,Moana 2 3D (2.00:1),"Phoenix Pallasio, Lucknow (DX 5.1)"
26,Mufasa: The Lion King 3D (1.85:1),"Priya, Delhi (XT 12.1)"
27,Captain America: Brave New World 3D Hindi (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
28,Chhaava (2.39:1),"Priya, Delhi (XT 12.1)"
29,Hubble 3D (1.43:1),"Science City, Ahmedabad (15/70 6.1)"
30,Mickey 17 4K (1.85:1),"Rajhans Precia, Surat (XT 5.1)"
31,Dune: Part Two 4K (1.90:1),"Phoenix Palladium, Ahmedabad (XT 5.1)"
32,Dune: Part Two 4K (1.90:1),"Select Citywalk, Delhi (CoLa 12.1)"
33,Interstellar 4K (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
34,A Minecraft Movie 3D (1.85:1),"Vishal, Delhi (XT 5.1)"
35,Sinners 4K (2.76:1 + 1.90:1),"Select Citywalk, Delhi (CoLa 12.1)"
36,Thunderbolts 3D (2.39:1 + 1.90:1),"Paras, Delhi (XT 5.1)"
37,Thunderbolts 4K (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
38,Sinners 4K (2.76:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
39,Mission: Impossible - The Final Reckoning 4K (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
40,F1 4K (1.90:1),"Vishal, Delhi (XT 5.1)"
41,Fantastic Four: First Steps 3D (1.90:1),"Vishal, Delhi (XT 5.1)"
42,Baahubali: The Epic 4K (1.90:1),"Priya, Delhi (XT 12.1)"
43,Avatar: Fire And Ash 3D 48fps (1.85:1),"Select Citywalk, Delhi (CoLa 12.1)"
44,Dhurandhar: The Revenge 4K (2.39:1),"Priya, Delhi (XT 12.1)"
45,Project Hail Mary 4K (2.39:1 + 1.85:1),"Priya, Delhi (XT 12.1)"
46,Project Hail Mary 4K (2.39:1 + 1.85:1),"Select Citywalk, Delhi (CoLa 12.1)"
47,Michael 4K (1.85:1),"Vishal, Delhi (XT 5.1)"
48,Top Gun 4K (2.39:1),"Paras, Delhi (XT 5.1)"
49,Top Gun: Maverick 4K (2.39:1 + 1.90:1),"Priya, Delhi (XT 12.1)"
