#,Ratio,Venue,City
4,2.39:1,Cinépolis: Nexus One,"Ahmedabad, Gujarat"
5,2.39:1,Cinépolis: Nexus One,"Ahmedabad, Gujarat"
4,2.39:1,Cinépolis: Kankubaug Vastral,"Ahmedabad, Gujarat"
6,2.39:1,PVR: Elante,"Chandigarh"
3,2.39:1,Cinépolis: Bestech Square,"Mohali, Punjab"
3,2.39:1,PVR: Phoenix Market City,"Pune, Maharashtra"
11,2.39:1,Cinépolis: Seasons Mall,"Pune, Maharashtra"
3,2.39:1,Cinépolis: Nexus Westend Mall,"Pune, Maharashtra"
2,2.39:1,PVR Icon: The Pavilion,"Pune, Maharashtra"
4,2.39:1,Cinépolis: Lake Mall,"Kolkata, West Bengal"
4,2.39:1,Cinépolis: Acropolis Mall,"Kolkata, West Bengal"
2,2.39:1,INOX: Hiland Park,"Kolkata, West Bengal"
1,2.39:1,INOX: Metro Jawaharlal Nehru Road,"Kolkata, West Bengal"
6,1.50:1,"Prasad's Multiplex","Hyderabad, Telangana"
